task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
119	c8/1825b6	197377	SEARCH_HBV_MUTATIONS (barcode_60_026084395002_A4)	COMPLETED	0	2026-08-19 17:31:25.774	927ms	622ms	99.2%	4.6 MB	83.4 MB	6.2 MB	5.5 KB
113	98/e4b325	180330	CALL_VCF (barcode_58_026080721102_E)	COMPLETED	0	2026-08-19 17:30:55.607	37.4s	37s	98.4%	918.2 MB	1.6 GB	679.3 MB	194.3 MB
120	43/33378e	199179	SEARCH_HBV_MUTATIONS (barcode_58_026080721102_E)	COMPLETED	0	2026-08-19 17:31:33.038	900ms	602ms	97.4%	4.9 MB	90 MB	6.2 MB	4.9 KB
114	40/2578b3	182688	CALL_VCF (barcode_59_026083024001_A2)	COMPLETED	0	2026-08-19 17:30:59.885	36.8s	36.4s	96.5%	608.1 MB	1.2 GB	839.6 MB	145.8 MB
121	0e/afa526	199962	SEARCH_HBV_MUTATIONS (barcode_59_026083024001_A2)	COMPLETED	0	2026-08-19 17:31:36.739	935ms	631ms	98.0%	4.6 MB	83.4 MB	6.2 MB	9.6 KB
109	0d/f75112	176959	CALL_VCF (barcode_57_026079402703_C1)	COMPLETED	0	2026-08-19 17:30:47.650	51.8s	51.5s	99.3%	778.2 MB	1.4 GB	917 MB	161.1 MB
122	d1/d2feb1	200620	SEARCH_HBV_MUTATIONS (barcode_57_026079402703_C1)	COMPLETED	0	2026-08-19 17:31:39.504	908ms	614ms	95.8%	4.6 MB	83.4 MB	6.2 MB	6.2 KB
117	cc/29160a	189565	CALL_VCF (barcode_62_TPOSP020_D3)	COMPLETED	0	2026-08-19 17:31:10.366	52.3s	51.9s	99.2%	1.2 GB	1.8 GB	912.7 MB	272.2 MB
123	28/7eff8e	205618	SEARCH_HBV_MUTATIONS (barcode_62_TPOSP020_D3)	COMPLETED	0	2026-08-19 17:32:02.711	1s	697ms	87.1%	4.6 MB	84.5 MB	6.2 MB	5.1 KB
125	ac/c8bbc6	206217	COLLECT_MUTATION_REPORTS	COMPLETED	0	2026-08-19 17:32:03.730	368ms	6ms	111.1%	0	0	142.6 KB	475 B
124	4b/1749ab	205636	QC_ANALYSIS	COMPLETED	0	2026-08-19 17:32:02.723	1m 12s	1m 12s	115.5%	98.7 MB	446.2 MB	10 GB	6.4 GB
